object_id,kind,area_px,equiv_diam,major,minor,orientation,eccentricity,solidity,perimeter,circularity,ppl_r_mean,ppl_r_std,ppl_r_p10,ppl_r_p90,ppl_g_mean,ppl_g_std,ppl_g_p10,ppl_g_p90,ppl_b_mean,ppl_b_std,ppl_b_p10,ppl_b_p90,xpl_r_mean,xpl_r_std,xpl_r_p10,xpl_r_p90,xpl_g_mean,xpl_g_std,xpl_g_p10,xpl_g_p90,xpl_b_mean,xpl_b_std,xpl_b_p10,xpl_b_p90
533,grain,331.0,20.529059630371258,28.680306667813397,15.73314142698529,0.9893916076589001,0.8361049611305457,0.8921832884097035,80.2842712474619,0.6453226650151123,145.66818237304688,26.775365829467773,109.54496002197266,180.2747802734375,141.51434326171875,29.6412296295166,103.50704956054688,178.54965209960938,132.41709899902344,25.86480140686035,100.91937255859375,164.74871826171875,144.07553100585938,48.53712463378906,75.0,209.0,155.3444061279297,53.28083801269531,79.0,223.0,156.0,44.21063232421875,92.0,212.0
534,grain,4238.0,73.45739711280015,107.97750633729224,51.57667740796291,0.6064946532096518,0.8785440628953297,0.9271494202581492,291.58073580374355,0.6264020368963971,207.54144287109375,17.716482162475586,194.07571411132812,215.63967895507812,205.34129333496094,16.14246368408203,188.90036010742188,213.91456604003906,201.72579956054688,15.956296920776367,184.5875701904297,210.46432495117188,30.144643783569336,4.718961715698242,23.0,35.0,34.758140563964844,5.636819839477539,26.0,40.0,36.947853088378906,4.807465076446533,31.0,42.0
535,grain,199.0,15.91774699517169,21.182170637757604,13.15135471533567,0.6055248992194326,0.7839142748058184,0.8361344537815126,65.97056274847714,0.5745959531035219,167.7958526611328,25.24721908569336,130.93641662597656,198.56101989746094,170.64793395996094,21.260488510131836,142.14967346191406,195.9733428955078,160.76535034179688,22.42144012451172,127.4861831665039,184.5875701904297,205.16079711914062,47.47963333129883,145.8000030517578,248.0,204.60301208496094,44.740211486816406,149.8000030517578,242.0,188.29647827148438,35.221588134765625,139.8000030517578,226.0
536,grain,3.0,1.9544100476116797,3.265986323710904,0.0,0.0,1.0,1.0,1.0,37.69911184307752,16.676137924194336,0.40661391615867615,16.38861656188965,17.078662872314453,13.22590160369873,0.40661391615867615,12.93838119506836,13.628427505493164,9.48814582824707,0.0,9.48814582824707,9.48814582824707,13.666666984558105,1.699673056602478,12.199999809265137,15.399999618530273,11.666666984558105,0.9428090453147888,11.0,12.600000381469727,9.333333015441895,0.471404492855072,9.0,9.800000190734863
537,grain,742.0,30.736683981742253,33.44340938300758,28.637316418821335,-0.46428289716674886,0.5164923951172042,0.9648894668400521,105.25483399593904,0.8416463959219451,178.381103515625,28.835920333862305,136.3705291748047,207.01409912109375,190.89749145507812,18.575284957885742,165.69752502441406,208.7392120361328,193.69676208496094,16.491897583007812,170.78662109375,209.60177612304688,85.11455535888672,32.410343170166016,41.0,129.89996337890625,121.38679504394531,31.000911712646484,75.0,159.0,132.18194580078125,26.497278213500977,96.0,165.0
538,grain,32.0,6.383076486422923,11.631017727559442,3.8426945781831283,-0.07469820488372274,0.9438468325550905,0.8205128205128205,22.86396103067893,0.7692312158903958,56.659324645996094,15.93464469909668,38.038841247558594,74.1800537109375,89.22091674804688,17.90190887451172,67.36583709716797,114.80656433105469,91.1077651977539,16.18985939025879,71.76488494873047,112.7364273071289,32.90625,12.081389427185059,18.100000381469727,52.29999542236328,62.9375,19.506309509277344,36.5,85.80000305175781,61.375,16.33391761779785,38.400001525878906,80.80000305175781
539,grain,1.0,1.1283791670955126,0.0,0.0,-0.7853981633974483,0.0,1.0,0.0,0.0,26.739320755004883,0.0,26.739320755004883,26.739320755004883,21.563968658447266,0.0,21.563968658447266,21.563968658447266,15.526057243347168,0.0,15.526057243347168,15.526057243347168,27.0,0.0,27.0,27.0,22.0,0.0,22.0,22.0,14.0,0.0,14.0,14.0
540,grain,1035.0,36.301555459799424,49.68632377419489,26.917420651883496,0.5610385008914324,0.8405415545888992,0.9574468085106383,132.66904755831212,0.738943088072005,191.7263946533203,23.09418296813965,157.84825134277344,212.189453125,183.46498107910156,24.81084632873535,147.8425750732422,207.87664794921875,170.18658447265625,31.74393653869629,122.48333740234375,202.7012939453125,195.3932342529297,37.732967376708984,139.39999389648438,234.0,200.67149353027344,35.36769104003906,149.0,238.0,191.46377563476562,39.792911529541016,131.0,233.0
541,grain,227.0,17.000746355818674,19.390106064301293,16.033161572171988,-0.1504984706699782,0.562388207546321,0.8764478764478765,67.83452377915606,0.6199178766017672,70.63481903076172,19.961326599121094,43.99049377441406,94.88146209716797,58.817386627197266,18.893104553222656,33.29476547241211,82.1155776977539,62.33601379394531,14.872300148010254,43.12793731689453,81.94307708740234,64.09691619873047,17.925430297851562,41.0,86.79998779296875,56.5947151184082,18.12787628173828,34.0,81.39999389648438,55.87224578857422,13.47461223602295,39.0,76.0
542,grain,19145.0,156.128700385146,284.287175169125,104.5562602607768,1.567419281829587,0.9299112678163584,0.7742235522484633,1040.961507501237,0.22202194024640318,135.32115173339844,59.266170501708984,50.028404235839844,209.60177612304688,147.9838409423828,55.53810119628906,62.10422897338867,208.7392120361328,149.92544555664062,55.08147048950195,62.10422897338867,207.87664794921875,144.13209533691406,86.90544891357422,25.0,255.0,156.5912322998047,83.97623443603516,39.0,255.0,158.99288940429688,81.75775909423828,47.0,255.0
543,grain,577.0,27.104597715372734,51.02992517536016,15.692623639447794,0.8881755529458486,0.951542244044073,0.8411078717201166,125.87615433949868,0.4576134121578181,135.48001098632812,41.4225959777832,75.04261016845703,183.72500610351562,147.6724395751953,30.622499465942383,105.23216247558594,183.72500610351562,147.68441772460938,27.500694274902344,108.6823959350586,180.2747802734375,126.5892562866211,53.30006790161133,47.0,192.39996337890625,139.04852294921875,47.30161666870117,73.60000610351562,200.39996337890625,128.5320587158203,40.67573928833008,77.0,184.0
